decade,word,tf,occurrences
1500-1550,monteux,0.004081632653061225,[22682]
1500-1550,komment,0.004081632653061225,[22682]
1500-1550,damiano,0.004081632653061225,[22956]
1500-1550,da,0.004081632653061225,[22956]
1500-1550,odenara,0.004081632653061225,[22956]
1500-1550,hildebran,0.004081632653061225,[23054]
1500-1550,institut,0.004081632653061225,[23054]
1500-1550,balfour,0.004081632653061225,[23055]
1500-1550,mcphail,0.004081632653061225,[29840]
1500-1550,jacquinot,0.004081632653061225,[29843]
1500-1550,dominiqu,0.004081632653061225,[29843]
1500-1550,speckl,0.004081632653061225,[32144]
1500-1550,veit,0.00816326530612245,"[32144, 90978]"
1500-1550,ill,0.004081632653061225,[32144]
1500-1550,frontinu,0.004081632653061225,[35535]
1500-1550,sextu,0.004081632653061225,[35535]
1500-1550,juliu,0.004081632653061225,[35535]
1500-1550,henryson,0.004081632653061225,[36638]
1500-1550,melanchthon,0.004081632653061225,[38901]
1500-1550,brunfel,0.00816326530612245,"[38902, 90962]"
1500-1550,otto,0.00816326530612245,"[38902, 90962]"
1500-1550,agricola,0.004081632653061225,[38909]
1500-1550,thynn,0.004081632653061225,[41946]
1500-1550,william,0.004081632653061225,[41946]
1500-1550,vettori,0.004081632653061225,[50968]
1500-1550,brulef,0.004081632653061225,[51963]
1500-1550,etienn,0.004081632653061225,[51963]
1500-1550,rabelai,0.004081632653061225,[52197]
1500-1550,approxim,0.02040816326530612,"[52197, 56255, 56531, 66268, 70502]"
1500-1550,royal,0.004081632653061225,[53634]
1500-1550,high,0.004081632653061225,[53634]
1500-1550,school,0.004081632653061225,[53634]
1500-1550,edinburgh,0.004081632653061225,[53634]
1500-1550,scotland,0.004081632653061225,[53634]
1500-1550,asulanu,0.004081632653061225,[56252]
1500-1550,paulusdiaconusd,0.004081632653061225,[56253]
1500-1550,gesti,0.004081632653061225,[56253]
1500-1550,romanorum,0.004081632653061225,[56253]
1500-1550,ludolf,0.004081632653061225,[56255]
1500-1550,sachsen,0.004081632653061225,[56255]
1500-1550,pigafetta,0.004081632653061225,[56531]
1500-1550,antonio,0.012244897959183673,"[56531, 77198, 78537]"
1500-1550,et,0.004081632653061225,[56531]
1500-1550,nauigat,0.004081632653061225,[56531]
1500-1550,faict,0.004081632653061225,[56531]
1500-1550,par,0.004081632653061225,[56531]
1500-1550,le,0.004081632653061225,[56531]
