occurrences
18852
19065
27125
49194
78695
14294
22304
28272
79968
64454
68415
75908
47180
49671
17531
88679
47181
38898
86616
18950
23054
23055
29840
36638
53634
66272
86722
13807
14289
23572
66271
79978
86511
90971
22650
22651
56255
66267
71852
78539
88177
14298
56531
67484
76653
85431
86617
22663
38902
78534
88174
90977
22676
38909
88187
52197
66268
70502
21139
77198
78537
91563
22574
56252
22665
22666
90975
22669
73422
32144
90978
90962
76351
77562
79960
79970
978
13802
13803
13813
13817
14245
14271
14272
18938
18947
19387
21566
22652
22677
22679
22682
22956
29843
1164
4269
15478
16780
23564
23580
35547
60586
66236
69689
71856
77196
82172
91038
22662
22684
22685
22687
22690
22693
22697
22698
38906
51961
76967
79976
88865
90979
13800
13808
23562
70499
71854
72601
79963
86513
86549
88179
14275
14284
14290
14297
38900
51957
71848
90963
90981
22658
71855
79957
79973
88172
88184
90984
531
14280
23577
86510
86546
14268
14270
22648
22664
22671
90972
22559
22691
29837
41949
56523
14899
20885
38340
44361
47714
18942
22695
79964
86515
86518
34840
14281
22656
70500
79971
22670
90959
14286
86618
88178
88181
14288
22678
75627
79961
18945
92192
19375
19389
53645
90333
22694
78535
88869
90961
23575
29257
50969
86547
66238
78388
4450
14247
45723
4457
14293
12378
18949
12868
13815
18939
14273
18937
22675
23057
66265
77561
8648
68541
13810
13816
22672
14274
23571
14276
90973
14278
14285
22674
23570
19048
28759
22660
23058
22689
22692
79969
23569
23573
23576
71851
29839
38904
29842
66266
38908
77194
90970
53642
59884
53668
59896
66269
79965
5883
4410
4415
4428
4431
4436
4439
4455
11790
14654
24198
25347
30901
31963
41922
41928
41929
41938
45706
45710
50333
58861
64903
64906
64910
64920
65635
68450
69887
76974
83389
85370
90088
90095
4451
8345
8350
8360
8369
14234
15662
15668
15678
15679
29729
29732
29738
33167
35002
45719
50779
60746
64917
88168
8357
8374
8763
14242
14254
15661
15666
15671
15672
16138
16139
22498
27618
36814
45751
55350
55351
67256
67257
67286
83654
3848
4448
8578
15665
17210
18693
25352
31969
33409
34984
37799
40468
41895
43486
57030
60731
60749
79176
86082
88015
892
3758
8348
17184
41947
41948
50330
52667
73752
79165
90089
4409
4449
37728
40356
41894
45722
45724
64928
75247
78372
3752
8373
15261
26907
37801
50345
58095
83092
83547
89785
4910
12430
14258
43268
56534
64904
4427
3903
3919
19399
58452
68040
68510
81333
86106
4437
4440
19228
31198
41930
41937
50336
60040
1697
8637
26476
35605
37436
69120
80817
1836
35587
35606
59916
61032
68527
65634
3748
15667
27623
67238
3769
60762
29387
64929
88867
8343
12424
17128
89792
47499
73474
49710
3080
51551
62024
65519
3762
